hospital_id,hospital_name,hospital_add,hospital_code,hospital_phone,hospital_country
1004,"Amma Hospital","Bangalore Road, Hosur Town",635109,9710997530,INDIA
1015,"ASHLEY COUNTY MEDICAL CENTER","1015 UNITY ROAD",71635,8703824303,ASHLEY
1019,"WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST",35502,2053874000,WALKER
1020,"HOPI HEALTH CARE CENTER","HIGHWAY 264, MILEPOST 388",86042,5205623321,NAVAJO
1022,"CHILDREN'S HOSPITAL OF ORANGE COUNTY","1201 W LA VETA AVE",92868,5629338001,ORANGE
1034,"TAHOE FOREST HOSPITAL","10121 PINE AVE",96161,2097542515,NEVADA
1050,"BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA","3050 TWIN RIVERS DRIVE",71923,8703644111,CLARK
1064,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.","901 WEST REX ALLEN DRIVE",85643,9287376000,COCHISE
1077,"SAINT FRANCIS MEMORIAL HOSPITAL","900 HYDE ST",94109,8056526075,"SAN FRANCISCO"
1078,"KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","2425 GEARY BLVD",94115,8059882500,"SAN FRANCISCO"
1085,"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","1400 E BOULDER ST",80909,3038122000,"EL PASO"
1094,"PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE",99508,9078616000,ANCHORAGE
1099,"ST BERNARDINE MEDICAL CENTER","2101 N WATERMAN AVE",92404,5307494300,"SAN BERNARDINO"
1108,"BEVERLY HOSPITAL","309 W BEVERLY BLVD",90640,3105407676,"LOS ANGELES"
1117,"GREEN VALLEY HOSPITAL","4455 SOUTH I-19 FRONTAGE ROAD",85614,5205862261,PIMA
1119,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","3100 TONGASS AVENUE",99901,9079662411,"KETCHIKAN GATEWAY"
1128,"HOAG ORTHOPEDIC INSTITUTE","16250 SAND CANYON AVENUE",92618,9167844000,ORANGE
1133,"CANYON VISTA MEDICAL CENTER","5700 EAST HIGHWAY 90",85635,9287572101,COCHISE
1142,"Anandpara Surgical & General Hospital","Iqbal House, Rani Sati Marg Off.Pandit Socicitor Lane, Malad (East)Malad (E), Mumbai - 97",400097,7769166282,INDIA
1154,"GLENDALE ADVENTIST MEDICAL CENTER","1509 E WILSON TERRACE",91206,9095801000,"LOS ANGELES"
1155,"Aastha Hospital","No.104,New Krishna Housing Society,Near Dhuri Motors,Ambadi Road,Vasai(W),Thane,",401202,8432941633,INDIA
1159,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","7400 EAST THOMPSON PEAK PARKWAY",85255,6027977700,MARICOPA
1166,"Ahmed Hospitals","Gulshan Nagar,Byepass,Nowgam",190008,6911663841,INDIA
1180,"Arunodaya Hospitals","# 18-23,4Th And 5Th Cross Mallasandra Main Road",560057,9530611358,INDIA
1182,"Adesh Hospital & Research Centre","Kotkapura Road Sri Muktsar Sahibmuktsar",152026,9176257997,INDIA
1184,"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD",95817,6617254800,SACRAMENTO
1197,"Abhaya Emergency Centre Sri Hospitals","79-1-4/1, J.N. Road",533103,9096836000,INDIA
1218,"Anugraha Nursing Home","No 2,Vinayaka Circle, Palace Guttahalli Main Road, Bangalore-560003Circle Palace Guttahalli Main",560003,3940349082,INDIA
1253,"POMONA VALLEY HOSPITAL MEDICAL CENTER","1798 N GAREY AVE",91767,8188435111,"LOS ANGELES"
1254,"FRENCH HOSPITAL MEDICAL CENTER","1911 JOHNSON AVE",93401,8059556000,"SAN LUIS OBISPO"
1262,"REDWOOD MEMORIAL HOSPITAL","3300 RENNER DRIVE",95540,7603264531,HUMBOLDT
1265,"ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR",99508,9077473241,ANCHORAGE
1272,"Anand Nursing Home","#1758 B/1, Sakoli Corner, K Ward.",416012,3766546988,INDIA
1281,"HONORHEALTH DEER VALLEY MEDICAL CENTER","19829 NORTH 27TH AVENUE",85027,6235611000,MARICOPA
1286,"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET",94110,8185021900,"SAN FRANCISCO"
1287,"SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY",90262,8057373300,"LOS ANGELES"
1300,"SHARP MEMORIAL HOSPITAL","7901 FROST ST",92123,3232685000,"SAN DIEGO"
